Parameter,BG,PE,PVC,PMMA
BG pipe service life,0.378730214,0.378554337,0.378625188,0.378535323
PE pipe service life,0.442426888,0.443626689,0.442960171,0.443159587
PVC pipe service life,0.400476195,0.400556153,0.399964663,0.400400788
PMMA pipe service life,0.424150852,0.423375188,0.424168819,0.423272053
Distance to construction site,0.416174841,0.415217094,0.415369709,0.415464279
Pump efficiency,0.345406278,0.344896068,0.34565759,0.344795839
Pump service life,0.425585331,0.425087478,0.42487039,0.42516598
Pipe Diameter,0.41271621,0.411862583,0.413014574,0.412352371
PBR HRT,0.302508387,0.303241934,0.301494491,0.303156575
Wastage Rate,0.43208357,0.430854723,0.431344548,0.431688487
Artifical Light Intensity ,0.428301037,0.430030859,0.428446166,0.42948311
BG pipe cost,0.437378567,0.438643111,0.43767828,0.438066975
PE pipe cost,0.387570229,0.38725278,0.387093228,0.387547791
PVC pipe cost,0.455721533,0.456120404,0.45600294,0.455766896
PMMA pipe cost,0.430482685,0.430379384,0.430289428,0.430341353
